number_of_bids_or_proposals_received_prior_to_award_of_contract,explain_why_the_fair_market_value_is_less_than_the_contract_amount,postal_code,amount_expended_for_fiscal_year,city,address_line1,begin_date,procurement_description,address_line2,transaction_number,state,vendor_number,type_of_procurement,renewal_date,number_of_bids_and_proposal_received_from_mwbe_firms,page_number,amount_expended_for_life_to_date,status,award_date,end_date,province_region,fair_market_value,exemption_from_the_publication_requirements_of_article_4c_of_the_economic-development_law?,current_or_outstanding_balance,award_process,plus_4,"if_yes,_basis_for_exemption",country,is_the_vendor_a_minority_or_woman-owned_business_enterprise?,amount,does_the_contract_have_an_end_date,is_the_vendor_a_nys_or_foreign_business_enterprise?,vendor_name,were_mwbe_firms_solicited_as_part_of_this_procurement_proces
13,,10019,0,NEW YORK,415W 54TH ST,03/22/2012,Collision Repair Services,,11044-1000,NY,12,Other,,0,12,785,OPEN,03/15/2012,03/21/2015,,,No,9215,Authority Contract - Competitive Bid,,,USA,No,10000,Yes,NYS,54TH STREET AUTO CENTER INC,No
12,,10019,1705,NEW YORK,415 WEST 54TH STREET,12/05/2011,As Needed Towing Services for the MTA Police Departments Fleet of Vehicles,,10095-0100,NY,13,Other,,0,13,2550,OPEN,11/29/2011,12/04/2014,,,No,950,Authority Contract - Competitive Bid,,,USA,No,3500,Yes,NYS,54TH STREET AUTO CENTER INC,No
,,10022,232631.8,NEW YORK,59 East 54th Street Rm. 51,05/01/2013,Vacate Agreement associated with Condemnation,,,NY,14,Other,,,14,232631.8,OPEN,05/01/2013,,,232631.8,,101271.48,Authority Contract - Non-Competitive Bid,,,USA,No,232631.8,No,,63 Company LLC,No
,,10528,174165,HARRISON,Mamaroneck AveNUE 310,05/16/2013,Vacate Agreement associated with Condemnation,,,NY,15,Other,,,15,174165,OPEN,05/16/2013,,,174165,,0,Authority Contract - Non-Competitive Bid,,,USA,No,174165,No,,63RD/64TH STREET ASSOCIATES LP,No
,,11716,18956.25,BOHEMIA,1599 OCEAN AVENUE,,Maintain/repair BT oil and water sepatators at various facilities,,C101053,NY,16,Other,,,16,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,,A B OIL SERVICE LTD,
2,,11716,394731.81,BOHEMIA,1599 OCEAN AVENUE,05/10/2010,On-Call Environmental Services-Haz and Non-Haz Waste Joint LIRR was the lead on behalf of itself an,,C4BP03665,NY,17,Other Professional Services,05/10/2010,0,17,678828.71,OPEN,10/22/2010,05/09/2015,,,No,2821171.29,Authority Contract - Competitive Bid,,,USA,No,3500000,Yes,NYS,A B OIL SERVICE LTD,No
3,,06605,55242.3,BRIDGEPORT,146 ANDOVER STREET,07/02/2010,RENTAL OF PORTABLE TOILETS,,C609E0097A,CT,18,Commodities/Supplies,,0,18,153388.38,OPEN,06/27/2010,07/01/2014,,,No,143781.72,Authority Contract - Competitive Bid,,,USA,No,297170.1,Yes,Foreign,A ROYAL FLUSH INC.,No
4,,06605,0,BRIDGEPORT,146 ANDOVER STREET,01/06/2011,Extend Contract Period Of Performance from March 2 2012 through March 1 2013 under the referenced,,3000000342,CT,19,Other,,0,19,0,OPEN,01/06/2011,12/31/2013,,,,154601,Authority Contract - Competitive Bid,,,USA,No,154601,Yes,Foreign,A ROYAL FLUSH INC.,Yes
4,,06605,31476.9,BRIDGEPORT,146 ANDOVER STREET,03/02/2009,Sanitary Waste Removal Services at BBT/HH/TBB,,C308-MNT-2836,CT,20,Other,,0,20,169797.9,OPEN,03/02/2009,12/31/2013,,,No,-15196.9,Authority Contract - Non-Competitive Bid,,,USA,No,154601,Yes,NYS,A ROYAL FLUSH INC.,No
0,,06605,678,BRIDGEPORT,146 ANDOVER STREET,01/20/2008,PORTABLE TOILETS,,C000045475,CT,21,Commodities/Supplies,,0,21,29665.94,OPEN,02/05/2008,01/20/2008,,,,35334.06,Authority Contract - Competitive Bid,,,USA,No,65000,Yes,Foreign,A ROYAL FLUSH INC.,No
1,,06605,4864.5,BRIDGEPORT,146 ANDOVER STREET,01/25/2013,PORTABLE TOILETS,,1000022971,CT,22,Other,,0,22,4864.5,OPEN,01/25/2013,01/25/2013,,,,42985.5,Authority Contract - Competitive Bid,,,USA,No,47850,Yes,Foreign,A ROYAL FLUSH INC.,No
0,,06605,676.8,BRIDGEPORT,146 ANDOVER STREET,12/20/2012,Portable Toilets Rental,,1000022113,CT,23,Other,,0,23,676.8,OPEN,12/20/2012,12/20/2012,,,,34996.76,Authority Contract - Competitive Bid,,,USA,No,35673.56,Yes,NYS,A ROYAL FLUSH INC.,No
3,,06605,7709.51,BRIDGEPORT,146 ANDOVER STREET,07/07/2010,RENTAL OF PORTABLE TOILETS,,C609E0097B,CT,24,Commodities/Supplies,,0,24,19242.68,OPEN,07/07/2010,07/01/2014,,,No,12017.82,Authority Contract - Competitive Bid,,,USA,No,31260.5,Yes,Foreign,A ROYAL FLUSH INC.,No
3,,06605,0,BRIDGEPORT,146 ANDOVER STREET,03/02/2009,Removal and disposal of sanitary waste,,08-MNT-2836A,CT,25,Other,,0,25,0,OPEN,03/01/2009,09/01/2013,,,No,1500,Authority Contract - Competitive Bid,,,USA,No,1500,Yes,NYS,A ROYAL FLUSH INC.,Yes
66,,10006,0,NEW YORK,115 BROADWAY,01/01/2011,IT CONSULTING SERVICES,13TH FLOOR,11120-0200,NY,26,Staffing Services,,3,26,0,OPEN,01/01/2011,12/31/2015,,,No,0,Authority Contract - Competitive Bid,,,USA,Yes,0,Yes,NYS,A-1 TECHNOLOGY INC.,Yes
41,,10469,0,BRONX,2803 BOSTON ROAD,11/14/2010,VOUCHER-BASED TRANSP.SVC.PROG.AAR - A PLUS WORLDWIDE LIMO,,C610E0281J,NY,27,Other Professional Services,,6,27,2509958.66,OPEN,11/10/2010,11/13/2013,,,No,1768044.3,Authority Contract - Competitive Bid,,,USA,No,4278002.96,Yes,NYS,A-PLUS WORLDWIDE LIMOS INC.,Yes
8,,06604,309608.93,BRIDGEPORT,690 CLINTON AVENUE,12/19/2012,1.00E+23 Design/Engineer-Repair/Replace of UB- WOH,,,CT,28,Consulting Services,,1,28,309608.93,OPEN,12/19/2012,,,,,534265.89,Authority Contract - Competitive Bid,,,USA,No,843874.82,No,NYS,A. DICESARE ASSOCIATES P.C.,Yes
6,,06604,345337.22,BRIDGEPORT,690 CLINTON AVENUE,12/19/2012,CSI for embankment stabilization at Milepost 43.8,,1000016310,CT,29,Consulting Services,,1,29,345337.22,OPEN,12/19/2012,12/19/2014,,,,286826.74,Authority Contract - Competitive Bid,,,USA,No,632163.96,Yes,Foreign,A. DICESARE ASSOCIATES P.C.,Yes
,,06604,10998.38,BRIDGEPORT,690 CLINTON AVENUE,04/02/2007,Construction SupervisionInspection for Embankment Stabilization,,MN30823,CT,30,Consulting Services,,1,30,10998.38,OPEN,04/02/2007,,,,,530569.23,Authority Contract - Non-Competitive Bid,,,USA,No,541567.61,No,Foreign,A. DICESARE ASSOCIATES P.C.,Yes
8,,11377,5040,WOODSIDE,32-15 58TH STREET,06/04/2013,MIRROR REPLACEMENT STAINLESS STEEL 18 IN. X 30 IN. WITH FRAME AND SECURITY MOUNT,,1000026781,NY,31,Commodities/Supplies,,1,31,5040,OPEN,06/03/2013,12/27/2013,,,,13650,Authority Contract - Competitive Bid,,,USA,No,18690,Yes,NYS,A. LISSCO. INC.,Yes
31,,11563,0,LYNBROOK,300 MERRICK ROAD,01/01/2009,Investigative services,SUITE 400,C908210-0100,NY,32,Other Professional Services,,4,32,0,OPEN,11/20/2008,12/31/2013,,,No,0,Authority Contract - Competitive Bid,,,USA,Yes,0,Yes,NYS,A.C. ROMANASSOCIATES INC.,Yes
2,,11104,8533.15,SUNNYSIDE,P.O. BOX 4309,05/19/2010,3-YR. NEWSPAPER SERVICE,,C910043-0100,NY,33,Commodities/Supplies,,0,33,30232.6,OPEN,05/19/2010,06/29/2013,,,No,5223.4,Authority Contract - Competitive Bid,,,USA,No,35456,Yes,NYS,A.M. NEWS DBA MITCHELLS NEWSPAPER,Yes
41,,11379,332263.06,MIDDLE VILLAGE,69-38 76TH STREET,11/14/2010,VOUCHER-BASED TRANSP.SVC.PROG.AAR-AMN MGMT. DBA ALWAYS READY,,C610E0281L,NY,34,Other Professional Services,,6,34,762678.66,OPEN,11/10/2010,11/13/2013,,,No,3337135.15,Authority Contract - Competitive Bid,,,USA,No,4099813.81,Yes,NYS,A.M.N. MANAGEMENT INC. D/B/A ALWAYS READ,Yes
6,,07657,29306.88,RIDGEFIELD,509 BROAD AVENUE,12/10/2010,TAPE MASKING CREPED 2 WIDE X 60,,C600957438,NJ,35,Commodities/Supplies,,0,35,159127.2,OPEN,12/06/2010,03/06/2013,,,No,5266.08,Authority Contract - Competitive Bid,,,USA,No,164393.28,Yes,Foreign,A.W. MEYER CO. INC.,Yes
,,07657,31295,RIDGEFIELD,509 BROAD AVENUE,,Multi-PO Under 15K to Same Vendor Goods Provided by Select Vendor,,,NJ,36,Commodities/Supplies,,,36,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,A.W. MEYER CO. INC.,
,,10466,15360,BRONX,3633 ROMBOUTS AVENUE,,FILTER AIR CONDITIONING EVAPORATOR RETURN AIR ANDLOCO CARBODY 10 IN. X 20 IN. X 2 IN. PER MNR SPEC,,1000028212,NY,37,Commodities/Supplies,,,37,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,NYS,AA AIR FILTERS INC,
1,,77058,7546.34,HOUSTON,17041 EL CAMINO REAL,07/29/2011,6.00E+23 METROCARD MERCHANT CREDIT INVESTIGATION SERVICES,,,TX,38,Other,,0,38,19999.34,OPEN,07/29/2011,07/29/2015,,,No,35560.66,Authority Contract - Competitive Bid,,,USA,No,55560,Yes,Foreign,AAA CREDIT SCREENING SERVICES LLC,No
,,10603,0,WHITE PLAINS,635 NORTH BROADWAY,,Upgrade Scott Air-Paks from NFPA 1981 1997 edition,,1000027216,NY,39,Commodities/Supplies,,,39,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,NYS,AAA EMERGENCY SUPP CO. INC.,
,,53154,21108.06,OAK CREEK,1120 WEST NORTH BRANCH DR,,BOLT HOOK TYPE 2 FOR37 LB ALUMINUM 3RD RAIL PER M,PO BOX 108,1000029352,WI,40,Commodities/Supplies,,,40,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,Foreign,AAA SALESENGINEERING,
3,,53154,0,OAK CREEK,1120 WEST NORTH BRANCH DR,07/02/2014,1.00E+23 From Req ID - 0000049015,PO BOX 108,,WI,41,Commodities/Supplies,,0,41,0,OPEN,12/18/2013,07/01/2016,,,,452309,Authority Contract - Competitive Bid,,,USA,No,452309,Yes,Foreign,AAA SALESENGINEERING,No
3,,53154,59010,OAK CREEK,1120 WEST NORTH BRANCH DR,03/05/2013,APPROACH END CAST 7 FT 6 IN. FOR 150 LB THIRD RAIL,PO BOX 108,1000024174,WI,42,Commodities/Supplies,,0,42,59010,COMPLETED,03/05/2013,07/12/2013,,,,0,Authority Contract - Competitive Bid,,,USA,No,59010,Yes,Foreign,AAA SALESENGINEERING,No
3,,53154,32500,OAK CREEK,1120 WEST NORTH BRANCH DR,08/30/2013,BRACKET 150 LB 3RD RAIL TYPE AU MN DWGSP-209 SP,PO BOX 108,1000029204,WI,43,Commodities/Supplies,,0,43,32500,OPEN,08/27/2013,01/21/2014,,,,0,Authority Contract - Competitive Bid,,,USA,No,32500,Yes,Foreign,AAA SALESENGINEERING,No
2,,08077,13026,CINNAMINSON,2303 GARRY ROAD,07/01/2013,6.00E+23 BOLT STEEL FENCE POST 5/8DIA. X 7- 1/2LONG 1-3/4MIN. THREAD LENGTH HEAVY HEX HEAD ELECTROGALVANIZED. TO BE SUPPLIED WITH PREVAILING TORQUE TYPE ST,,,NJ,44,Commodities/Supplies,,0,44,13026,OPEN,07/01/2013,06/30/2014,,,No,8684,Authority Contract - Competitive Bid,,,USA,No,21710,Yes,Foreign,AALL AMERICAN FASTENERS,Yes
,,11757,1062476.1,LINDENHURST,50 GEAR AVE,03/01/2010,CLEANINGREMOVAL OF OILY WASTE FROM COLLECTION UNITS,,C608G9919A,NY,45,Other Professional Services,,1,45,3930860.54,OPEN,02/26/2010,02/28/2015,,,No,128715.46,Authority Contract - Competitive Bid,,,USA,No,4059576,Yes,NYS,AARCO ENVIRONMENTAL SERVICES CORP.,Yes
6,,11716,37825.42,BOHEMIA,1599 OCEAN AVE,08/20/2010,Environ Svc Haz/Non-Haz Waste. Lead Agency LIRR IT05396-MW49/BPO3665,,C2J100670A,NY,46,Commodities/Supplies,,0,46,41091.42,OPEN,08/20/2010,08/31/2015,,,No,358908.58,Authority Contract - Competitive Bid,,,USA,No,400000,Yes,NYS,AB OIL SERVICE LTD.,No
2,,07064,18468.36,PORT READING,600 MARKLEY STREET,01/15/2013,BAG PLASTIC WASTEBASKET LINER CLEAR .31 MIL 24 IN.X 33 IN. MED GRADE 1000 PER CASE,PO BOX 10,1000022600,NJ,47,Commodities/Supplies,,1,47,18468.36,OPEN,01/15/2013,01/14/2014,,,,16250.3,Authority Contract - Competitive Bid,,,USA,No,31658.66,Yes,NYS,ABALINE PAPER PRODUCTS INC,Yes
7,,07064,212808.96,PORT READING,600 MARKLEY STREET,10/14/2011,6.00E+23 TOWEL PAPER C-FOLD 10.25 X 13 150 TOWELS PER PACKAGE 16 PACKAGES PER CASE. 2400 TOWELS PER C,,,NJ,48,Commodities/Supplies,,1,48,474727.68,OPEN,10/14/2011,10/14/2013,,,No,81849.6,Authority Contract - Competitive Bid,,,USA,No,556577.28,Yes,Foreign,ABALINE PAPER PRODUCTS INC.,Yes
1,,10016,169493.61,NEW YORK,261 FIFTH AVENUE,05/17/2010,EXTERMINATING SERVICE CONTRACT FOR GCT OFFICEPUBLIC SPACE 1ST YEAR FUNDING,,C000053726,NY,49,Other,,0,49,625594.53,OPEN,05/17/2010,05/15/2014,,,,114013.95,Authority Contract - Competitive Bid,,,USA,No,739608.48,Yes,NYS,ABALON EXTERMINATING COMPANY INC,No
4,,10016,0,NEW YORK,261 FIFTH AV,01/01/2012,1.00E+23 Pest Control,,,NY,50,Other,,3,50,0,OPEN,01/01/2012,12/31/2015,,,,632000,Authority Contract - Competitive Bid,,,USA,No,632000,Yes,NYS,ABALON EXTERMINATING COMPANY INC,Yes
4,,10016,16125,NEW YORK,261 FIFTH AV,01/01/2012,Class A- Scheduled Monthly yrs 12,,1000003672,NY,51,Other,,0,51,120375,OPEN,01/01/2012,12/31/2015,,,,405965,Authority Contract - Competitive Bid,,,USA,No,526340,Yes,NYS,ABALON EXTERMINATING COMPANY INC,No
4,,10016,368872,NEW YORK,261 FIFTH AVENUE,01/01/2012,6.00E+23 PEST CONTROL SERVICES for NYCT DOB and MTABC,,,NY,52,Other,,0,52,499925.5,OPEN,01/01/2012,12/31/2015,,,No,3178347.5,Authority Contract - Competitive Bid,,,USA,No,3678273,Yes,NYS,ABALON EXTERMINATING COMPANY INC.,No
4,,10016,57397,NEW YORK,261 FIFTH AVENUE,01/01/2012,4.00E+23 Exterminating Services -Joint,,,NY,53,Commodities/Supplies,03/31/2015,1,53,114288,OPEN,01/01/2012,12/31/2015,,,No,520436,Authority Contract - Competitive Bid,,,USA,No,634724,Yes,NYS,ABALON EXTERMINATING COMPANY INC.,Yes
,,10016,42894.4,NEW YORK,99 PARK AVENUE,05/05/2009,REPRODUCTION OF CPM ENGINEERING DRAWINGS,,C608I9977,NY,54,Other Professional Services,,1,54,402248.65,OPEN,05/05/2009,03/03/2014,,,No,145981.35,Authority Contract - Competitive Bid,,,USA,No,548230,Yes,NYS,ABC IMAGING,Yes
,,10018,32118.38,NEW YORK,438 WEST 37TH STREET,,Robin Air P/N 15120-VP-10CFM-2-Stage Vac Pump 1 15V-Sandy,,7000000343,NY,55,Commodities/Supplies,,,55,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,NYS,ABCO REFRIGERATION SUPPLY CORPORATION,
3,,10018,0,NEW YORK,438 WEST 37TH STREET,12/23/2013,6.00E+23 GAS INDUSTRIAL FREON No22HCFC22MONOCHLORODIFLUOROMETHANE REFRIGERANT IN 30 LB. DISPOSABLE CYLINDER. CERTIFICATION THAT MATERIAL M,,,NY,56,Commodities/Supplies,,0,56,0,OPEN,12/23/2013,06/23/2014,,,No,312000,Authority Contract - Competitive Bid,,,USA,No,312000,Yes,NYS,ABCO REFRIGERATION SUPPLY CORPORATION,Yes
5,,10018,133991,NEW YORK,438 WEST 37TH STREET,01/09/2012,6.00E+23 A/C Unit - Friedrich2011MODEL No XQ10M102012 MODEL No SQ10N10 ENERGY STAR COMPLIANT,,,NY,57,Commodities/Supplies,,30,57,271756,OPEN,01/09/2012,01/09/2014,,,Yes,16964,Authority Contract - Competitive Bid,,Emergency or Critical Need,USA,No,288720,Yes,NYS,ABCO REFRIGERATION SUPPLY CORPORATION,Yes
2,,10018,26187.5,NEW YORK,438 WEST 37TH STREET,04/09/2013,6.00E+23 KIT REPAIR SOLENOID VALVE U/W HVAC,,,NY,58,Commodities/Supplies,,0,58,26187.5,OPEN,04/09/2013,07/08/2015,,,No,36312.5,Authority Contract - Competitive Bid,,,USA,No,62500,Yes,NYS,ABCO REFRIGERATION SUPPLY CORPORATION,Yes
1,,10018,6075,NEW YORK,438 WEST 37TH STREET,07/02/2013,6.00E+23 PACKED ANGLE VALVE FOR USE WITH ALL CFC HCFC AND HFC REFRIGERANTS,,,NY,59,Commodities/Supplies,,0,59,6075,OPEN,07/02/2013,10/01/2014,,,No,20250,Authority Contract - Competitive Bid,,,USA,No,26325,Yes,NYS,ABCO REFRIGERATION SUPPLY CORPORATION,Yes
3,,10018,0,NEW YORK,438 WEST 37TH STREET,12/23/2013,70-33-3568 GAS INDUSTRIAL FREON 22 HCFC22 MONOCHLORODIFLUOROMETHANE REFRIGERANT IN 30 LB. DI,,J131626,NY,60,Commodities/Supplies,,0,60,0,OPEN,12/20/2013,06/22/2014,,,No,15600,Authority Contract - Competitive Bid,,,USA,No,15600,Yes,NYS,ABCO REFRIGERATION SUPPLY CORPORATION,Yes
,,10018,100256,NEW YORK,438 WEST 37TH STREET,,Multi-PO Under 15K to Same Vendor Goods Provided by Select Vendor,,,NY,61,Commodities/Supplies,,,61,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,ABCO REFRIGERATION SUPPLY CORPORATION,
6,,10014,0,NEW YORK,609 GREENWICH STREET,01/30/2013,6.00E+23 XDCAM HD422 2/3CCD Video Camcorder,,,NY,62,Technology - Hardware,,0,62,42251,OPEN,01/30/2013,,,,No,0,Authority Contract - Competitive Bid,,,USA,No,42251,No,NYS,ABEL CINE TECH INC,Yes
4,,10014,29700,NEW YORK,609 GREENWICH STREET,10/04/2013,Viewcast Encoders,,13152-0100,NY,63,Technology - Hardware,,0,63,29700,OPEN,10/04/2013,12/31/2015,,,No,0,Authority Contract - Competitive Bid,,,USA,No,29700,Yes,NYS,ABEL CINE TECH INC,No
6,,92688,6210,RANCHO SANTA MARGARITA,22362 GILBERTO SUITE 120,02/01/2008,REAL-TIME TEXT CAPTIONING SERVICES IN C/W WEB CASTING OF PUBLIC MEETINGS,,C907131-0200,CA,64,Technology - Consulting/Development or Sup,,0,64,87390,OPEN,02/27/2008,02/28/2013,,,No,7610,Authority Contract - Competitive Bid,,,USA,No,95000,Yes,Foreign,ABERDEEN CAPTIONING INC.,No
,,11726,17936,COPIAGUE,21 DIXON AVENUE,,JLG Scissor Lift 2646ES with spring loaded gate and beacon,,R131578,NY,65,Commodities/Supplies,,,65,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,NYS,ABLE EQUIPMENT RENTAL INC.,
,,11726,20241,COPIAGUE,21 DIXON AVENUE,,4.00E+23 Ride of NYSOGS Contract Group 72007 Award 21461 for heavy equipment rental,,,NY,66,Commodities/Supplies,,,66,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,NYS,ABLE EQUIPMENT RENTAL INC.,
13,,11726,0,COPIAGUE,21 DIXON AVENUE,10/09/2013,4.00E+23 Bid IT04360 3 Yr Heavy Duty Equipment Rental,,,NY,67,Commodities/Supplies,,0,67,0,OPEN,10/09/2013,10/08/2016,,,No,450000,Authority Contract - Competitive Bid,,,USA,No,450000,Yes,NYS,ABLE EQUIPMENT RENTAL INC.,No
7,,11726,0,COPIAGUE,21 DIXON AVENUE,10/18/2013,6.00E+23 Lull Telehandler model No1044c54,,,NY,68,Commodities/Supplies,,0,68,0,OPEN,10/18/2013,10/19/2013,,,No,131250,Authority Contract - Competitive Bid,,,USA,No,131250,Yes,NYS,ABLE EQUIPMENT RENTAL INC.,Yes
5,,11726,41688,COPIAGUE,21 DIXON AVENUE,12/18/2012,6.00E+23 Sullair 260DPQ tow-behind air compressor,,,NY,69,Commodities/Supplies,,1,69,41688,OPEN,12/18/2012,02/18/2013,,,No,0,Authority Contract - Competitive Bid,,,USA,No,41688,Yes,NYS,ABLE EQUIPMENT RENTAL INC.,Yes
3,,11726,0,COPIAGUE,21 DIXON AVENUE,01/07/2014,TRAILER MOUNTED PORTABLE AIR COMPRESSOR AS PER SPEC,,1000033177,NY,70,Commodities/Supplies,,3,70,0,OPEN,01/07/2014,03/17/2014,,,,21995,Authority Contract - Competitive Bid,,,USA,Yes,21995,Yes,NYS,ABLE EQUIPMENT RENTAL INC.,Yes
4,,11726,0,COPIAGUE,21 DIXON AVENUE,07/18/2013,6.00E+23 Electric Scissor Lift as per Equipment Specification JLG Pro-Fit Series Electric Scissor Lift dated 5/10/13,,,NY,71,Commodities/Supplies,,2,71,0,OPEN,07/18/2013,11/15/2013,,,No,17936,Authority Contract - Competitive Bid,,,USA,No,17936,Yes,NYS,ABLE EQUIPMENT RENTAL INC.,Yes
7,,11726,16414,COPIAGUE,21 DIXON AVENUE,02/14/2013,6.00E+23 Furnish and Deliver a Skyjack Model SJIII 3226 electric scissorlift with platform extension for the Livonia Maintenance Shop.,,,NY,72,Other,,2,72,16414,OPEN,02/14/2013,02/13/2014,,,No,0,Authority Contract - Competitive Bid,,,USA,No,16414,Yes,NYS,ABLE EQUIPMENT RENTAL INC.,Yes
2,,11729,0,DEER PARK,1050 GRAND BLVD,10/09/2013,91-65-3693 GUARD ASSEMBLY PROTECTION CURBSIDE EXTERIOR CROSSOVER CONVEX MIRROR INCLUDES BRACKET,,PRB131586C,NY,73,Commodities/Supplies,,0,73,0,OPEN,07/09/2013,10/08/2014,,,No,36000,Authority Contract - Competitive Bid,,,USA,No,36000,Yes,NYS,ABLE WELDBUILT INDUSTRIES INC,No
2,,11729,0,DEER PARK,1050 GRAND BLVD,07/22/2013,6.00E+23 GUARD ASSEMBLY PROTECTION CURBSIDE EXTERIOR CROSSOVER CONVEX MIRROR INCLUDES BRACKET CLAMPS 3/8-16 FLANGE NUTS AND MIRROR ARM STOP MOUNT,,,NY,74,Commodities/Supplies,,0,74,0,OPEN,07/22/2013,10/21/2014,,,No,36000,Authority Contract - Competitive Bid,,,USA,No,36000,Yes,NYS,ABLE WELDBUILT INDUSTRIES INC,Yes
2,,11729,0,DEER PARK,1050 GRAND BLVD,10/09/2013,91-65-3694 MOUNT STOP CURBS,,PRB131586D,NY,75,Commodities/Supplies,,0,75,0,OPEN,07/09/2013,10/08/2014,,,No,3300,Authority Contract - Competitive Bid,,,USA,No,3300,Yes,NYS,ABLE WELDBUILT INDUSTRIES INC,No
,,11729,14596,DEER PARK,1050 GRAND BLVD,,Multi-PO Under 15K to Same Vendor Goods Provided by Select Vendor,,,NY,76,Commodities/Supplies,,,76,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,ABLE WELDBUILT INDUSTRIES INC,
