number_of_bids_or_proposals_received_prior_to_award_of_contract,explain_why_the_fair_market_value_is_less_than_the_contract_amount,postal_code,amount_expended_for_fiscal_year,city,address_line1,begin_date,procurement_description,address_line2,transaction_number,state,vendor_number,type_of_procurement,renewal_date,number_of_bids_and_proposal_received_from_mwbe_firms,page_number,amount_expended_for_life_to_date,status,award_date,end_date,province_region,fair_market_value,exemption_from_the_publication_requirements_of_article_4c_of_the_economic-development_law?,current_or_outstanding_balance,award_process,plus_4,"if_yes,_basis_for_exemption",country,is_the_vendor_a_minority_or_woman-owned_business_enterprise?,amount,does_the_contract_have_an_end_date,is_the_vendor_a_nys_or_foreign_business_enterprise?,vendor_name,were_mwbe_firms_solicited_as_part_of_this_procurement_proces
,,07065,37800,RAHWAY,1414 CAMPBELL STREET,,"R110955 69-10-4962 LUBRICANT, TEFLON,",P.O. BOX 1044,,NJ,15,Commodities/Supplies,,,15,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",
10,,07065,711371.7,RAHWAY,1414 CAMPBELL STREET,08/04/2010,C600943643 RAG ON A ROLL JUMBO 12 X 13.4 USED,P.O. BOX 1044,,NJ,16,Commodities/Supplies,,1,16,1459411.08,OPEN,08/04/2010,12/07/2012,,,No,149663.92,Authority Contract - Competitive Bid,,,USA,No,1609075,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
2,,07065,75593.75,RAHWAY,1414 CAMPBELL STREET,09/29/2011,LUBRICANT TEFLON HIGH LUBRICITY AEROSOL FOR CHAINS PULLEYS SLIDING SURFACES WITHSTANDS EXTRE,P.O. BOX 1044,0600000000000000000000951,NJ,17,Commodities/Supplies,,0,17,75593.75,OPEN,08/04/2011,03/29/2013,,,No,75606.25,Authority Contract - Competitive Bid,,,USA,No,151200,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
5,,07065,39060,RAHWAY,1414 CAMPBELL STREET,05/14/2010,C600935880 LUBRICANT PENETRANT RUST PREVENTIVE,P.O. BOX 1044,,NJ,18,Commodities/Supplies,,0,18,130200,OPEN,05/14/2010,05/14/2012,,,No,0,Authority Contract - Competitive Bid,,,USA,No,130200,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
3,,07065,80712.24,RAHWAY,1414 CAMPBELL STREET,07/07/2011,TAPE MASKING PAPER 1-1/4ft. WIDE 60 YARD LONG ROLL FOR USE IN SUBWAY CAR MASKING OPERATIONS AND,P.O. BOX 1044,0600000000000000000000802,NJ,19,Commodities/Supplies,,1,19,107766.12,OPEN,07/07/2011,10/08/2012,,,No,10965.36,Authority Contract - Competitive Bid,,,USA,No,118731.48,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
9,,07065,34473.6,RAHWAY,1414 CAMPBELL STREET,08/24/2010,C600945505 TAPE DUCT 2 WIDE ALUMINUM,P.O. BOX 1044,,NJ,20,Commodities/Supplies,,3,20,51710.4,OPEN,08/24/2010,11/23/2012,,,No,47403.86,Authority Contract - Competitive Bid,,,USA,No,99114.26,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
21,,07065,34882,RAHWAY,1414 CAMPBELL STREET,04/20/2010,C600933815 BUCKET MOPPING 35 QUART YELLOW,P.O. BOX 1044,,NJ,21,Commodities/Supplies,,3,21,93946,OPEN,04/20/2010,07/20/2012,,,No,0,Authority Contract - Competitive Bid,,,USA,No,93946,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
38,,07065,65009,RAHWAY,1414 CAMPBELL STREET,01/03/2011,C600948375 BIT SHIP AUGER 3/4ft (12/16ft),P.O. BOX 1044,,NJ,22,Commodities/Supplies,,1,22,77959,OPEN,09/23/2010,12/21/2012,,,No,0,Authority Contract - Competitive Bid,,,USA,No,77959,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
38,,07065,39312,RAHWAY,1414 CAMPBELL STREET,10/14/2010,C600948372 BIT SHIP AUGER 13/16ft DIAMETER 7/16ft.,P.O. BOX 1044,,NJ,23,Commodities/Supplies,,1,23,69888,OPEN,09/23/2010,12/21/2012,,,No,112,Authority Contract - Competitive Bid,,,USA,No,70000,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
5,,07065,7776,RAHWAY,1414 CAMPBELL STREET,08/17/2012,COMPOUND LUBRICATING HIGH TEMPERATURE EXTREME PRESSURE 1/2 LB. BRUSH TOP CAN,P.O. BOX 1044,0600000000000000000003401,NJ,24,Commodities/Supplies,,1,24,7776,OPEN,08/17/2012,08/18/2014,,,No,42778,Authority Contract - Competitive Bid,,,USA,No,50554,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
6,,07065,20787.52,RAHWAY,1414 CAMPBELL STREET,12/16/2010,C600958744 SET CORD U-GROUND EXTENSION PARALLEL,P.O. BOX 1044,,NJ,25,Commodities/Supplies,,1,25,30667.52,OPEN,12/15/2010,03/15/2013,,,No,12310.48,Authority Contract - Competitive Bid,,,USA,No,42978,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
9,,07065,21978,RAHWAY,1414 CAMPBELL STREET,09/16/2011,HORN SIGNAL PUSH BUTTON MIGHTY SONIC,P.O. BOX 1044,0600000000000000000001185,NJ,26,Commodities/Supplies,,1,26,29403,OPEN,09/16/2011,09/14/2012,,,No,297,Authority Contract - Competitive Bid,,,USA,No,29700,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
3,,07065,12979.85,RAHWAY,1414 CAMPBELL STREET,12/14/2011,HOSE ASSEMBLY PLUS II CHARGING HOSE WITH 45 DEGREE SEALRIGHT FITTING AT ONE END 60ft. LENGTH 3 PAK,P.O. BOX 1044,0600000000000000000001717,NJ,27,Commodities/Supplies,,7,27,12979.85,OPEN,12/14/2011,03/14/2014,,,No,15922.65,Authority Contract - Competitive Bid,,,USA,No,28902.5,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
9,,07065,21621.6,RAHWAY,1414 CAMPBELL STREET,09/16/2011,REFILL HORN MIGHTY SONIC 8 OUNCE USED WITH PUSH BUTTON SIGNAL HORN,P.O. BOX 1044,0600000000000000000001186,NJ,28,Commodities/Supplies,,1,28,28828.8,OPEN,09/16/2011,09/14/2012,,,No,46.2,Authority Contract - Competitive Bid,,,USA,No,28875,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
29,,07065,11011,RAHWAY,1414 CAMPBELL STREET,03/25/2010,C600931003 VISE MACHINIST 6ft BENCH WITH SWIVEL,P.O. BOX 1044,,NJ,29,Commodities/Supplies,,0,29,28314,OPEN,03/25/2010,06/25/2012,,,No,0,Authority Contract - Competitive Bid,,,USA,No,28314,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
3,,07065,9696,RAHWAY,1414 CAMPBELL STREET,04/27/2012,STRAPPING STEEL 1/2 X .015 OSCILLATED COILS SPIRAL WRAPPED WITH WATER PROOF PAPER 100 LB ROLL/ COIL SIZE TO HAVE A RANGE OF +/-5 TO 10 POUNDS,P.O. BOX 1044,0600000000000000000002762,NJ,30,Commodities/Supplies,,1,30,9696,OPEN,04/27/2012,07/26/2013,,,No,14544,Authority Contract - Competitive Bid,,,USA,No,24240,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
13,,07065,14356,RAHWAY,1414 CAMPBELL STREET,02/03/2012,BAG TOOL CANVAS WITH NAUGAHYDE UP SIDES AND BOTTOM 12 SIZE LINEMANS. NYCTA MARKING SPECIFICATION: ITEM MUST BE STAMPED ENGRAVED AND/OR INDELIBLY MA,P.O. BOX 1044,0600000000000000000002013,NJ,31,Commodities/Supplies,,3,31,14356,OPEN,02/03/2012,05/03/2014,,,No,7178,Authority Contract - Competitive Bid,,,USA,No,21534,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
5,,07065,0,RAHWAY,1414 CAMPBELL STREET,09/23/2011,POLE TELESCOPIC THREADED 8 FEET ALUMINUM CHANGEABLE SNAP-IN THREADED NYLON CONE,P.O. BOX 1044,0600000000000000000001074,NJ,32,Commodities/Supplies,,1,32,3631.5,OPEN,08/24/2011,10/24/2013,,,No,15736.5,Authority Contract - Competitive Bid,,,USA,No,19368,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
4,,07065,3682.32,RAHWAY,1414 CAMPBELL STREET,04/30/2012,KNIFE OLFA FILM FOR INSTALLING VANDAL SHIELD ON BUS WINDOWS,P.O. BOX 1044,0600000000000000000002054,NJ,33,Commodities/Supplies,,0,33,3682.32,OPEN,02/07/2012,05/07/2014,,,No,12347.68,Authority Contract - Competitive Bid,,,USA,No,16030,Yes,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",Yes
,,07065,48802.77,RAHWAY,1414 CAMPBELL STREET,,various various small purchases,P.O. BOX 1044,,NJ,34,Commodities/Supplies,,,34,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",
,,07065,339570.84,RAHWAY,1414 CAMPBELL STREET,,Multi-PO Under 15K to Same Vendor Goods Provided by Select Vendor,P.O. BOX 1044,,NJ,35,Commodities/Supplies,,,35,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,Foreign,"A & M INDUSTRIAL SUPPLY CO., INC.",
1,,15317,46740,MCMURRAY,157 WATERDAM ROAD,03/16/2012,JOINT POLY INSULATED,SUITE 220,1000013858,PA,36,Commodities/Supplies,,0,36,46740,COMPLETED,03/16/2012,04/01/2012,,,No,0,Authority Contract - Competitive Bid,2573,,USA,No,46740,Yes,Foreign,A AND K RAILROAD MATERIALS,Yes
,,84130,20446.28,SALT LAKE CITY,P.O. BOX 30076,,Miscellaneous Parts and tools.,,,UT,37,Commodities/Supplies,,,37,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,A AND K RAILROAD MATERIALS INC.,
14,,84130,0,SALT LAKE CITY,P.O. BOX 30076,07/27/2012,"RAIL, 136RE,HEAD HARDENED, CONTINUOUSLY WELDED LENGTHS, DRILLING ON BOTH ENDS TO BE 9 1/2 IN AND 15 1/2IN",,4000023163,UT,38,Commodities/Supplies,,0,38,0,OPEN,07/27/2012,02/01/2013,,,No,2024985.6,Authority Contract - Competitive Bid,,,USA,No,2024985.6,Yes,Foreign,A AND K RAILROAD MATERIALS INC.,No
3,,84130,16400,SALT LAKE CITY,P.O. BOX 30076,05/23/2011,IT0132 TRACK JOINT BAR,,0400000000000000000000142,UT,39,Commodities/Supplies,,0,39,16400,OPEN,05/23/2011,01/11/2012,,,No,16400,Authority Contract - Competitive Bid,,,USA,No,32800,Yes,Foreign,A AND K RAILROAD MATERIALS INC.,No
3,,84130,29600,SALT LAKE CITY,P.O. BOX 30076,12/19/2011,"Bar,Joint,115/119RE, A AND K Railroad Materials Inc - POO1266 - PPO",,4000013965,UT,40,Commodities/Supplies,,0,40,29600,COMPLETED,12/19/2011,12/19/2011,,,No,0,Authority Contract - Competitive Bid,,,USA,No,29600,Yes,Foreign,A AND K RAILROAD MATERIALS INC.,No
3,,84130,13024,SALT LAKE CITY,P.O. BOX 30076,08/25/2011,"BAR,JOINT,136 RE,36IN-6 HOLE, PER AREA SEC.4-2 PGS.12-14.1, BARS TO BE CONSTRUCTED TO AREA SEC.4-1-9",,4000008903,UT,41,Commodities/Supplies,,0,41,25872,COMPLETED,08/25/2011,11/03/2011,,,,0,Authority Contract - Competitive Bid,,,USA,No,25872,Yes,Foreign,A AND K RAILROAD MATERIALS INC.,No
4,,84130,24660,SALT LAKE CITY,P.O. BOX 30076,04/17/2012,"JOINT,INSULATED,POLY,.136RE,36IN LONG,6 HOLE,DRILLED 3-1/2X 6X 6,SET INCLUDES:2 INSULATED BARS,BOLTS,",,4000018788,UT,42,Commodities/Supplies,,0,42,24660,OPEN,04/17/2012,07/20/2012,,,No,0,Authority Contract - Competitive Bid,,,USA,No,24660,Yes,Foreign,A AND K RAILROAD MATERIALS INC.,No
,,07065,183079.6,RAHWAY,1414 CAMPBELL STREET,,C000078008 TOWEL SHOP ORANGE,,,NJ,43,Commodities/Supplies,,,43,,COMPLETED,,,,,,,Purchased Under State Contract,,,USA,No,,,,A AND M INDUSTRIAL SUPPLY,
,,07065,219784.65,RAHWAY,1414 CAMPBELL STREET,,TAPE REFLECTIVE WHITE,,,NJ,44,Commodities/Supplies,,,44,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,A AND M INDUSTRIAL SUPPLY,
,,07065,37496.48,RAHWAY,1414 CAMPBELL STREET,,Miscellaneous Parts and tools.,P.O. BOX 1044,,NJ,45,Commodities/Supplies,,,45,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,"A AND M INDUSTRIAL SUPPLY CO., INC.",
7,,07065,936.1,RAHWAY,1414 CAMPBELL STREET,09/01/2012,3 Yr. Assorted Hardware,P.O. BOX 1044,0400000000000000000000533,NJ,46,Commodities/Supplies,,0,46,936.1,OPEN,09/15/2012,09/01/2015,,,No,125181.9,Authority Contract - Competitive Bid,,,USA,No,126118,Yes,Foreign,"A AND M INDUSTRIAL SUPPLY CO., INC.",No
3,,07065,8273.4,RAHWAY,1414 CAMPBELL STREET,04/01/2010,C4BP03644 Assorted tools,P.O. BOX 1044,,NJ,47,Commodities/Supplies,,0,47,16214.76,OPEN,10/26/2010,03/31/2013,,,No,43645.24,Authority Contract - Competitive Bid,,,USA,No,59860,Yes,Foreign,"A AND M INDUSTRIAL SUPPLY CO., INC.",No
6,,07065,41965,RAHWAY,1414 CAMPBELL STREET,10/17/2011,"BLOWER,SNOW,HAND OPERATED,FRICTION DISC (FD) TYPE TRANSMISSION, 2 STAGE,GAS POWERED,MIN.8 H.P. WITH",P.O. BOX 1044,4000011054,NJ,48,Commodities/Supplies,,0,48,41965,COMPLETED,10/17/2011,12/05/2011,,,,0,Authority Contract - Competitive Bid,,,USA,No,41965,Yes,NYS,"A AND M INDUSTRIAL SUPPLY CO., INC.",No
4,,07065,0,RAHWAY,1414 CAMPBELL STREET,01/01/2013,Assorted tools,P.O. BOX 1044,0400000000000000000000585,NJ,49,Commodities/Supplies,,0,49,0,OPEN,12/17/2012,12/31/2016,,,No,34000,Authority Contract - Competitive Bid,,,USA,No,34000,Yes,Foreign,"A AND M INDUSTRIAL SUPPLY CO., INC.",Yes
7,,07065,8255.52,RAHWAY,1414 CAMPBELL STREET,08/11/2011,3 yr blanket order/duct tape,P.O. BOX 1044,0400000000000000000000227,NJ,50,Other,,3,50,8255.52,OPEN,08/15/2011,08/11/2014,,,No,22555.68,Authority Contract - Competitive Bid,,,USA,No,30811.2,Yes,NYS,"A AND M INDUSTRIAL SUPPLY CO., INC.",Yes
6,,07065,1246.5,RAHWAY,1414 CAMPBELL STREET,02/01/2012,3yr./Sanding discs,P.O. BOX 1044,0400000000000000000000358,NJ,51,Commodities/Supplies,,0,51,1246.5,OPEN,01/17/2012,01/31/2015,,,No,26753.5,Authority Contract - Competitive Bid,,,USA,No,28000,Yes,Foreign,"A AND M INDUSTRIAL SUPPLY CO., INC.",No
,,11716,630,BOHEMIA,1599 OCEAN AVENUE,,Miscellaneous Parts and tools.,,,NY,52,Other Professional Services,,,52,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,A B OIL SERVICE LTD,
,,11716,0,BOHEMIA,1599 OCEAN AVENUE,,C101053 Maintain/repair oil and water sepatators at various facilities,,,NY,53,Other,,,53,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,,A B OIL SERVICE LTD,
2,,11716,204430.64,BOHEMIA,1599 OCEAN AVENUE,05/10/2010,C4BP03665 On-Call Environmental Services-Haz and Non-Haz Waste Joint LIRR was the lead on behalf of itself,,,NY,54,Other Professional Services,,0,54,284096.9,OPEN,10/22/2010,05/09/2015,,,No,3215903.1,Authority Contract - Competitive Bid,,,USA,No,3500000,Yes,NYS,A B OIL SERVICE LTD,No
1,,11716,1699.25,BOHEMIA,1599 OCEAN AVENUE,01/11/2012,49590314; Environmental services; Babylon Yard cleanup 12/2/10 per invoice 19731,,4000014686,NY,55,Other Professional Services,05/10/2010,0,55,1699.25,COMPLETED,01/11/2012,01/11/2012,,,,24688.65,Authority Contract - Competitive Bid,,,USA,No,26387.9,Yes,NYS,A B OIL SERVICE LTD,No
1,,11716,22885,BOHEMIA,1599 OCEAN AVENUE,01/31/2012,"HAZ. WASTE, Nickel Cadmium (NI-CAD) DISPOSAL BY CONTRACTOR Invoice   24643",,4000015572,NY,56,Other Professional Services,05/10/2010,0,56,22885,OPEN,01/31/2012,01/31/2012,,,,3370,Authority Contract - Competitive Bid,,,USA,No,26255,Yes,NYS,A B OIL SERVICE LTD,No
,,06605,0,BRIDGEPORT,146 ANDOVER STREET,,"Extend Contract Period Of Performance from March 2, 2012 through March 1, 2013, under the referenced",,3000000342,CT,57,Commodities/Supplies,,,57,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,"A ROYAL FLUSH, INC.",
,,06605,9150.86,BRIDGEPORT,146 ANDOVER STREET,,Restroom facility for Trainees at Sub 310A Cos Cob Power Station,,,CT,58,Other,,,58,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,"A ROYAL FLUSH, INC.",
4,,06605,17052,BRIDGEPORT,146 ANDOVER STREET,03/02/2009,C308-MNT-2836 Sanitary Waste Removal Services at BBT/HH/TBB,,,CT,59,Other,,0,59,138321,OPEN,03/02/2009,03/01/2012,,,No,26485,Authority Contract - Competitive Bid,,,USA,No,164806,Yes,NYS,"A ROYAL FLUSH, INC.",No
3,,06605,59339.68,BRIDGEPORT,146 ANDOVER STREET,07/07/2010,C609E0097A RENTAL OF PORTABLE TOILETS,,,CT,60,Commodities/Supplies,,0,60,98146.08,OPEN,07/07/2010,07/01/2014,,,No,3058.22,Authority Contract - Competitive Bid,,,USA,No,101204.3,Yes,Foreign,"A ROYAL FLUSH, INC.",No
,,06605,5330.2,BRIDGEPORT,P. O. Box 1307,02/05/2008,C000045475 PORTABLE TOILETS FOR SAFETY DEPARTMENT LOCATIONS,,,CT,61,Other,,0,61,11631.54,OPEN,02/05/2008,01/19/2013,,,No,35673.26,Authority Contract - Competitive Bid,,,USA,No,47304.8,Yes,Foreign,"A ROYAL FLUSH, INC.",Yes
1,,06605,0,BRIDGEPORT,146 ANDOVER STREET,12/20/2012,Portable Toilets Rental,,1000022113,CT,62,Other,,0,62,0,COMPLETED,12/20/2012,12/20/2012,,,No,35673.56,Authority Contract - Competitive Bid,,,USA,No,35673.56,Yes,Foreign,"A ROYAL FLUSH, INC.",Yes
3,,06605,5153.22,BRIDGEPORT,146 ANDOVER STREET,07/07/2010,C609E0097B RENTAL OF PORTABLE TOILETS,,,CT,63,Commodities/Supplies,,0,63,11533.17,OPEN,07/07/2010,07/01/2014,,,No,19727.33,Authority Contract - Competitive Bid,,,USA,No,31260.5,Yes,Foreign,"A ROYAL FLUSH, INC.",No
66,,10006,0,NEW YORK,115 BROADWAY,01/01/2011,IT CONSULTING SERVICES,13TH FLOOR,11120-0200,NY,64,Staffing Services,,3,64,0,OPEN,01/01/2011,12/31/2015,,,No,0,Authority Contract - Competitive Bid,,,USA,Yes,0,Yes,NYS,"A-1 TECHNOLOGY, INC.",Yes
41,,10469,1265086.3,BRONX,2803 BOSTON ROAD,11/14/2010,C610E0281J VOUCHER-BASED TRANSP.SVC.PROG.AAR - A PLUS WORLDWIDE LIMO,,,NY,65,Other Professional Services,,6,65,2509958.66,OPEN,11/10/2010,11/13/2013,,,No,1768044.3,Authority Contract - Competitive Bid,,,USA,No,4278002.96,Yes,NYS,A-PLUS WORLDWIDE LIMOS INC.,Yes
,,19063,76118.4,MEDIA,FOUR EAST GLEN CIRCLE,,LUBRICANT SYNTHETIC USED FOR TRACK SWITCH MACHINES,,,PA,66,Commodities/Supplies,,,66,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,A-Z COATINGS,
1,,06604,0,BRIDGEPORT,690 CLINTON AVENUE,12/19/2012,DESIGN AND ENGINEERING - REPAIR/REPLACEMENT OF UNDERGRADE BRIDGES - WEST OF HUDSON,,1000017473,CT,67,Design and Construction/Maintenance,,0,67,0,OPEN,12/19/2012,12/19/2014,,,No,818902.05,Authority Contract - Competitive Bid,,,USA,No,818902.05,Yes,Foreign,A. DICESARE ASSOCIATES,Yes
6,,06604,0,BRIDGEPORT,690 CLINTON AVENUE,12/19/2012,CONSTRUCTION SUPERVISION AND INSPECTION FOR THE EMBANKMENT STABILIZATION AT MILEPOSE 43.8 ON THE HUDSON LINE,,1000016310,CT,68,Design and Construction/Maintenance,,0,68,0,OPEN,12/19/2012,12/18/2014,,,No,583008.67,Authority Contract - Competitive Bid,,,USA,No,583008.67,Yes,Foreign,A. DICESARE ASSOCIATES,Yes
1,,07092,0,MOUNTAINSIDE,253 SHEFFIELD STREET,12/13/2012,LIRR FIX32 to iFIX Upgrade Project. Scope of Work and Products outlined below for the upgrade and ex,,4000028812,NJ,69,Commodities/Supplies,,1,69,0,OPEN,12/13/2012,01/15/2013,,,No,70850,Authority Contract - Competitive Bid,,,USA,Yes,70850,Yes,Foreign,A. K. DE RAMA INDUSTRIAL CONTROL SYSTEMS,Yes
,,11377,20320.95,WOODSIDE,32-15 58TH STREET,,"DISPENSER LIQUID SOAP 12 OZ CAPACITY, STEEL CHROME",,,NY,70,Commodities/Supplies,,,70,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,A. LISS AND COMPANY,
